car type,price,mileage,gear_type,year,cynlinder,date
Land Rover  Range Rover  Vogue Autobiography,140000.0,150000.0,Automatic,2015,8,2023-02-25 00:00:00
Jeep  Gladiator  Launch Edition,180000.0,18500.0,Automatic,2020,6,2023-02-25 00:00:00
Land Rover  Range Rover  Vogue SE Super charged,180000.0,92000.0,Automatic,2016,8,2023-02-25 00:00:00
Lexus  LX  570 S Black Edition,345000.0,78000.0,Automatic,2020,8,2023-02-25 00:00:00
Mercedes-Benz  S-Class  560 Coupe,360000.0,24000.0,Automatic,2019,8,2023-02-25 00:00:00
Ford  Raptor,195000.0,75000.0,Automatic,2018,6,2023-02-25 00:00:00
BMW  3-Series  320i,35000.0,200000.0,Automatic,2015,4,2023-02-25 00:00:00
Chevrolet  Suburban,90000.0,126000.0,Automatic,2016,8,2023-02-25 00:00:00
GMC  Sierra  AT4,170000.0,70000.0,Automatic,2020,8,2023-02-25 00:00:00
Lincoln  MKX,55000.0,91000.0,Automatic,2016,6,2023-02-25 00:00:00
Nissan  Patrol  SE,79000.0,165000.0,Automatic,2015,8,2023-02-25 00:00:00
Toyota  Avalon,30000.0,300000.0,Automatic,2013,6,2023-02-25 00:00:00
Ford  Raptor,215000.0,67000.0,Automatic,2020,6,2023-02-25 00:00:00
Lexus  LX  570 S,287000.0,170000.0,Automatic,2018,8,2023-02-25 00:00:00
Toyota  FJ Cruiser,51000.0,165000.0,Automatic,2008,6,2023-02-25 00:00:00
Porsche  Cayenne  GTS,420000.0,41000.0,Automatic,2021,8,2023-02-25 00:00:00
Ford  Raptor,230000.0,33000.0,Automatic,2020,6,2023-02-25 00:00:00
Lexus  LX  570 S Black Edition,360000.0,29000.0,Automatic,2020,8,2023-02-25 00:00:00
Mercedes-Benz  S-Class  450,200000.0,122000.0,Automatic,2018,6,2023-02-25 00:00:00
Nissan  Patrol  Platinum,112000.0,118000.0,Automatic,2016,8,2023-02-25 00:00:00
GMC  Yukon  SLT,165000.0,80000.0,Automatic,2019,8,2023-02-25 00:00:00
Land Rover  Range Rover  Velar R-Dynamic,200000.0,40000.0,Automatic,2019,6,2023-02-25 00:00:00
Porsche  Panamera  4S,80000.0,56000.0,Automatic,2011,6,2023-02-25 00:00:00
Mitsubishi  Outlander,82000.0,60000.0,Automatic,2019,4,2023-02-25 00:00:00
Ford  Raptor  SVT,100000.0,112000.0,Automatic,2014,8,2023-02-25 00:00:00
Nissan  Patrol  Super Safari,165000.0,7000.0,Manual,2021,6,2023-02-25 00:00:00
Ford  F  150 LARIAT,160000.0,57800.0,Automatic,2020,6,2023-02-25 00:00:00
BMW  5-Series  520i,59000.0,102000.0,Automatic,2016,4,2023-02-25 00:00:00
Jeep  Grand Cherokee  Limited,52000.0,150000.0,Automatic,2014,6,2023-02-25 00:00:00
Lexus  LX  570 S,189000.0,107701.0,Automatic,2015,8,2023-02-25 00:00:00
GMC  Sierra  2500 HD,155000.0,58000.0,Automatic,2015,8,2023-02-25 00:00:00
Lexus  LX  570 S Black Edition,338000.0,47000.0,Automatic,2020,8,2023-02-25 00:00:00
Mitsubishi  Eclipse  Cross Highline,59999.0,74300.0,Automatic,2019,4,2023-02-25 00:00:00
Nissan  Patrol  SE,95000.0,136000.0,Automatic,2015,8,2023-02-25 00:00:00
GMC  Terrain  SLE,39000.0,115000.0,Automatic,2015,4,2023-02-25 00:00:00
BMW  7-Series  740 Li,130000.0,86000.0,Automatic,2016,6,2023-02-25 00:00:00
Mini  Cooper  S,56000.0,95000.0,Automatic,2016,4,2023-02-25 00:00:00
Jeep  Grand Cherokee  Summit,145000.0,23000.0,Automatic,2019,8,2023-02-25 00:00:00
Toyota  Land Cruiser  GXR,242000.0,12000.0,Automatic,2021,8,2023-02-25 00:00:00
Land Rover  Range Rover  Vogue,195000.0,83000.0,Automatic,2016,8,2023-02-25 00:00:00
BMW  X-Series  X5 M Competition,309000.0,22000.0,Automatic,2021,6,2023-02-25 00:00:00
Mercedes-Benz  S-Class  450,200000.0,118000.0,Automatic,2018,6,2023-02-25 00:00:00
Land Rover  Defender  110,309000.0,18000.0,Automatic,2021,6,2023-02-25 00:00:00
BMW  3-Series  320i,148000.0,22000.0,Automatic,2021,4,2023-02-25 00:00:00
Mercedes-Benz  V-Class  250,219000.0,400.0,Automatic,2021,4,2023-02-25 00:00:00
Ford  Bronco,269000.0,2500.0,Automatic,2021,6,2023-02-25 00:00:00
